time(s)	cellId	rnti	lcid	packetSize	delay(s)
1.14903	2	4	3	17080	0.00802856
1.14903	2	3	3	11387	0.00802856
1.14903	2	2	3	11387	0.00802856
1.14903	4	1	3	16115	0.00302856
1.15003	2	5	3	22335	0.00802856
1.15003	2	4	3	17080	0.00802856
1.15003	4	5	3	14453	0.00802856
1.15003	4	4	3	14453	0.00802856
1.15103	2	1	3	11387	0.00902856
1.15103	4	3	3	638	0.0130286
1.15139	4	5	3	10511	0.00238571
1.1516	4	4	3	6480	0.0026
1.15174	4	3	3	463	0.00274285
1.15189	4	2	3	1107	0.00288571
1.15203	2	2	3	11387	0.0100286
1.15203	4	1	3	16115	0.00302856
1.15303	2	5	3	11824	0.00802856
1.15339	2	5	3	8409	0.00238571
1.1536	2	4	3	8409	0.0026
1.15374	2	3	3	638	0.00274285
1.15389	2	2	3	1107	0.00288571
1.15403	4	5	3	19709	0.00802856
1.15403	4	4	3	19709	0.00802856
1.15403	4	3	3	13137	0.00802856
1.15403	4	2	3	13137	0.00802856
1.15403	2	1	3	638	0.00302856
1.15503	4	3	3	2567	0.0130286
1.15503	4	2	3	5604	0.0130286
1.15539	4	5	3	8409	0.00238571
1.1556	4	4	3	3851	0.0026
1.15574	4	3	3	463	0.00274285
1.15589	4	2	3	463	0.00288571
1.15603	2	2	3	7882	0.0180286
1.15603	4	1	3	16115	0.00302856
1.15639	2	5	3	10511	0.00238571
1.15639	4	5	3	8409	0.00238571
1.1566	2	4	3	8409	0.0026
1.1566	4	4	3	3851	0.0026
1.15674	2	3	3	638	0.00274285
1.15689	4	2	3	463	0.00288571
1.15703	4	1	3	16115	0.00302856
1.15739	2	5	3	10511	0.00238571
1.1576	2	4	3	8409	0.0026
1.15774	2	3	3	638	0.00274285
1.15803	4	3	3	463	0.0130286
1.15803	2	1	3	2567	0.00302856
1.1586	2	4	3	8409	0.0026
1.15874	2	3	3	638	0.00274285
1.15903	4	1	3	16115	0.00302856
1.15989	4	2	3	7005	0.00288571
1.16003	2	3	3	11387	0.0180286
1.16003	2	1	3	11387	0.0190286
1.16003	4	1	3	16115	0.00302856
1.16039	2	5	3	10511	0.00238571
1.1606	2	4	3	8409	0.0026
1.16074	2	3	3	638	0.00274285
1.16089	2	2	3	1107	0.00288571
1.16103	2	1	3	638	0.00302856
1.16103	4	1	3	16115	0.00302856
1.16203	2	1	3	2567	0.00802856
1.16239	4	5	3	10511	0.00238571
1.1626	4	4	3	6480	0.0026
1.16274	4	3	3	463	0.00274285
1.16289	4	2	3	1107	0.00288571
